Core 1,Core 2,Latency (Nanoseconds)
0,0,0
0,1,48
0,2,49
0,3,51
0,4,20
0,5,47
0,6,49
0,7,51
1,0,48
1,1,0
1,2,43
1,3,46
1,4,49
1,5,19
1,6,43
1,7,48
2,0,49
2,1,43
2,2,0
2,3,49
2,4,49
2,5,43
2,6,20
2,7,46
3,0,51
3,1,46
3,2,49
3,3,0
3,4,53
3,5,49
3,6,48
3,7,21
4,0,20
4,1,49
4,2,49
4,3,53
4,4,0
4,5,50
4,6,46
4,7,47
5,0,47
5,1,19
5,2,43
5,3,49
5,4,50
5,5,0
5,6,49
5,7,50
6,0,49
6,1,43
6,2,20
6,3,48
6,4,46
6,5,49
6,6,0
6,7,46
7,0,51
7,1,48
7,2,46
7,3,21
7,4,47
7,5,50
7,6,46
7,7,0
